                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.2149,                 1.0804,                  1.148,                0.60157,                0.58043,                0.58165,                0.40037,                 1.1332,                0.90222,                 1.1228,               0.006832,               0.006832,               0.006832
                     98,                 1.2129,                 1.0789,                 1.1437,                0.60239,                0.57926,                0.58216,                0.40052,                 1.1326,                 0.9018,                 1.1221,               0.006799,               0.006799,               0.006799
                     99,                 1.2151,                 1.0793,                 1.1471,                0.60663,                0.58138,                0.58288,                0.40095,                  1.132,                0.90108,                 1.1217,               0.006766,               0.006766,               0.006766
                    100,                 1.2134,                 1.0814,                 1.1447,                0.60568,                0.58104,                0.58205,                0.40154,                 1.1313,                0.90046,                 1.1212,               0.006733,               0.006733,               0.006733
                    101,                 1.2121,                 1.0764,                 1.1459,                0.60575,                0.58131,                0.58343,                0.40207,                  1.131,                 0.8999,                 1.1208,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2125,                  1.071,                  1.143,                0.60629,                0.58114,                0.58353,                0.40239,                 1.1307,                0.89954,                 1.1205,               0.006667,               0.006667,               0.006667
                    103,                 1.2112,                 1.0747,                 1.1431,                0.61216,                0.57964,                  0.584,                0.40291,                 1.1306,                 0.8992,                 1.1203,               0.006634,               0.006634,               0.006634
                    104,                 1.2092,                 1.0721,                  1.145,                0.60612,                0.58017,                0.58444,                0.40369,                 1.1304,                0.89882,                   1.12,               0.006601,               0.006601,               0.006601
                    105,                 1.2115,                 1.0727,                 1.1448,                 0.6047,                0.58204,                0.58478,                 0.4043,                 1.1301,                0.89849,                 1.1196,               0.006568,               0.006568,               0.006568
                    106,                  1.211,                 1.0767,                 1.1451,                0.61341,                0.57574,                0.58471,                0.40495,                   1.13,                0.89854,                 1.1195,               0.006535,               0.006535,               0.006535
                    107,                 1.2053,                 1.0644,                 1.1408,                0.61052,                0.57933,                0.58454,                0.40499,                   1.13,                0.89855,                 1.1193,               0.006502,               0.006502,               0.006502
                    108,                 1.2062,                 1.0694,                 1.1414,                0.60432,                0.58803,                0.58458,                0.40499,                 1.1294,                0.89814,                 1.1189,               0.006469,               0.006469,               0.006469
                    109,                 1.2095,                 1.0662,                 1.1433,                0.60854,                 0.5778,                0.58484,                0.40508,                 1.1294,                0.89759,                 1.1188,               0.006436,               0.006436,               0.006436
                    110,                  1.203,                 1.0668,                 1.1389,                0.60488,                0.57881,                0.58478,                0.40497,                  1.129,                0.89735,                 1.1183,               0.006403,               0.006403,               0.006403
                    111,                 1.2053,                 1.0649,                 1.1412,                0.63295,                0.56011,                0.58558,                0.40501,                 1.1287,                0.89702,                 1.1181,                0.00637,                0.00637,                0.00637
                    112,                 1.2062,                 1.0652,                 1.1398,                0.63263,                 0.5606,                0.58571,                0.40481,                 1.1285,                0.89675,                 1.1182,               0.006337,               0.006337,               0.006337
                    113,                 1.2014,                 1.0649,                 1.1389,                 0.6306,                0.56287,                0.58609,                0.40484,                  1.128,                0.89603,                 1.1179,               0.006304,               0.006304,               0.006304
                    114,                 1.2024,                 1.0631,                 1.1397,                0.62342,                0.56427,                0.58643,                0.40546,                 1.1274,                0.89545,                 1.1174,               0.006271,               0.006271,               0.006271
                    115,                 1.2013,                 1.0593,                 1.1395,                0.62196,                0.56414,                0.58629,                0.40526,                 1.1269,                0.89467,                 1.1171,               0.006238,               0.006238,               0.006238
                    116,                 1.1988,                 1.0542,                 1.1363,                0.61847,                0.56698,                 0.5868,                0.40586,                 1.1262,                0.89398,                 1.1165,               0.006205,               0.006205,               0.006205
                    117,                 1.2045,                 1.0609,                 1.1376,                0.61495,                0.56872,                0.58718,                0.40656,                 1.1259,                0.89339,                 1.1163,               0.006172,               0.006172,               0.006172
                    118,                 1.1985,                 1.0592,                 1.1368,                0.64376,                 0.5568,                0.58706,                0.40664,                 1.1254,                0.89275,                 1.1159,               0.006139,               0.006139,               0.006139
                    119,                 1.2017,                 1.0518,                 1.1373,                0.64005,                0.55982,                0.58815,                0.40754,                 1.1252,                0.89207,                 1.1155,               0.006106,               0.006106,               0.006106
                    120,                  1.195,                 1.0474,                 1.1341,                0.63541,                0.56362,                0.58918,                0.40856,                 1.1244,                0.89171,                 1.1153,               0.006073,               0.006073,               0.006073
                    121,                 1.1984,                 1.0534,                 1.1351,                0.63391,                0.56104,                0.58956,                0.40889,                  1.124,                0.89123,                 1.1148,                0.00604,                0.00604,                0.00604
                    122,                  1.185,                 1.0369,                 1.1314,                0.64381,                0.55554,                0.58986,                0.40864,                 1.1236,                0.89119,                 1.1146,               0.006007,               0.006007,               0.006007
                    123,                 1.1889,                 1.0412,                 1.1316,                0.64323,                0.55768,                0.59013,                0.40898,                 1.1231,                0.89073,                 1.1144,               0.005974,               0.005974,               0.005974
                    124,                 1.1932,                 1.0538,                 1.1366,                0.63928,                0.55774,                0.58996,                0.40924,                 1.1226,                0.89045,                  1.114,               0.005941,               0.005941,               0.005941
                    125,                 1.1934,                  1.043,                 1.1339,                0.65297,                0.55417,                0.58985,                 0.4094,                  1.122,                0.89049,                 1.1135,               0.005908,               0.005908,               0.005908
